replication,Flat table K0,AI typed lift Ktheta,AI plus source/availability audit Ktheta+E,Post-index source certificate Kpost,Prospective reference KP
4597,0.13042159453011165,0.3498094387365447,0.25677568841286613,0.13042159453011165,0.24225314058843775
4598,0.15926692175642942,0.36581296635736843,0.256092089201878,0.15926692175642942,0.23374182976493618
4599,0.17654504053648284,0.38995137137094404,0.27981266166892244,0.17654504053648284,0.2771486849168008
4600,0.17669209966235128,0.4100984986273709,0.3188127979300393,0.17669209966235128,0.1587786996374783
4601,0.1675359408033826,0.40113618253070216,0.3102004834546391,0.1675359408033826,0.2279706359049063
4602,0.14676356233605312,0.3595814242798384,0.2636357238875706,0.14676356233605312,0.28064765694076044
4603,0.1417869111476447,0.3594268588544798,0.26327989541367025,0.1417869111476447,0.32913528311965806
4604,0.1891443704709601,0.41385750762466333,0.3064262743074065,0.1891443704709601,0.14936331553126378
4605,0.13317252866935742,0.3239198055153185,0.20149455369192218,0.13317252866935742,0.16026766163129796
4606,0.12666181618161818,0.33074749974997497,0.22517136713671365,0.12666181618161818,0.2312197473971668
4607,0.16162473360384338,0.3874096225707523,0.2975697779338178,0.16162473360384338,0.3352967311964455
4608,0.12692999667775423,0.323752544412304,0.20964509546909957,0.12692999667775423,0.1827171912755437
4609,0.12456411167166347,0.3253974889349669,0.22266675452660678,0.12456411167166347,0.23447430014430012
4610,0.1697997951868919,0.3816232698861495,0.269646949398515,0.1697997951868919,0.18326759497812128
4611,0.14911320467831582,0.36700169200716043,0.26977697465768924,0.14911320467831582,0.12860246482868165
4612,0.10521649773422365,0.3077103003138355,0.2059876051592237,0.10521649773422365,0.2462377269195451
4613,0.1316433757423582,0.36444553112380446,0.2836043107628925,0.1316433757423582,0.28949787775891345
4614,0.11380927835051555,0.31872942924910197,0.216840301797173,0.11380927835051555,0.09079258473744156
4615,0.1522980769230769,0.3765357028929971,0.28047525193984035,0.1522980769230769,0.31170642433845386
4616,0.17117027667857537,0.39057035886097313,0.2838001643647955,0.17117027667857537,0.2694080650704549
4617,0.17647833735605262,0.4062306315126348,0.3085045883131643,0.17647833735605262,0.2147982396205469
4618,0.1271666666666667,0.32112448759830614,0.20891564186327893,0.1271666666666667,0.24268993410036194
4619,0.18831284880364357,0.4136191525053432,0.3126126074033992,0.18831284880364357,0.20328081143917226
4620,0.15741826022947297,0.3837952607665299,0.2917540010741138,0.15741826022947297,0.27303544825790593
4621,0.16440048668032786,0.3812033153867551,0.2746056574128545,0.16440048668032786,0.3471883350780553
4622,0.14649117627054903,0.3328521655889448,0.2047219786367916,0.14649117627054903,0.22912429833419765
4623,0.155577600025712,0.3753122644791995,0.27146932890697506,0.155577600025712,0.3244182076461358
4624,0.1519798988541067,0.3668116612945648,0.26566352488091616,0.1519798988541067,0.31731651267339067
4625,0.11749756784434204,0.32181212579384666,0.21962911589900921,0.11749756784434204,0.38050039462325813
4626,0.15369809882737023,0.3541840051182367,0.23797181258173306,0.15369809882737023,0.25119798057776555
4627,0.16053065910372774,0.3566888650078346,0.23231641180821366,0.16053065910372774,0.23533848114000783
4628,0.13003161255220755,0.34931779171323285,0.2595723583220506,0.13003161255220755,0.3273718436864854
4629,0.14610616915303073,0.3547206054652853,0.243228872624509,0.14610616915303073,0.34885715873456913
4630,0.14623494014467708,0.3597689324545744,0.25906798461979474,0.14623494014467708,0.28171467051467053
4631,0.14285174069627854,0.3535481873165379,0.24839289324051878,0.14285174069627854,0.35423602000125115
4632,0.17220341207349077,0.39468244012513787,0.29395805610329406,0.17220341207349077,0.35374803973981994
4633,0.12324679487179487,0.3205073904677872,0.20752119119198462,0.12324679487179487,0.3262222984562607
4634,0.113352841309501,0.30862356125438284,0.20154143988976364,0.113352841309501,0.30464306062578966
4635,0.16151751390692373,0.366689542645303,0.24834405747675845,0.16151751390692373,0.22007307333189693
4636,0.16248419841984188,0.38801155640273954,0.29205471596579524,0.16248419841984188,0.3407721980292313
4637,0.12423086492345975,0.3207142342255742,0.20896673860422893,0.12423086492345975,0.32010739310739317
4638,0.19595815919681023,0.42245224727809655,0.3189881761625726,0.19595815919681023,0.10052721455092993
4639,0.14201449971192615,0.34956432178371716,0.24209964414358198,0.14201449971192615,0.26520571499755885
4640,0.11170082008200825,0.3112887892938726,0.20617593842372872,0.11170082008200825,0.12967148659415612
4641,0.10095833333333339,0.2895324585224073,0.18114825037814786,0.10095833333333339,0.2614645258445259
4642,0.1594353558627752,0.3659296560789456,0.25198860043234084,0.1594353558627752,0.26694887090817854
4643,0.14643107769423552,0.36848715538847115,0.2721121553884712,0.14643107769423552,0.31094172212139537
4644,0.1251933913934426,0.32613198489708645,0.21687718700728767,0.1251933913934426,0.3269662184712256
4645,0.1460108827859933,0.3617281576469501,0.26343454972191355,0.1460108827859933,0.19440731481481482
4646,0.15698505217335634,0.3692855083484697,0.26160091235022664,0.15698505217335634,0.19636977058029692
4647,0.1399417506234214,0.3566556208348697,0.25842774042289657,0.1399417506234214,0.2576055660289531
4648,0.1488758631186018,0.3420458595855519,0.22133999293390033,0.1488758631186018,0.2280920540168146
4649,0.15945135688684078,0.38750881365805356,0.2951149135424255,0.15945135688684078,0.3184599511267988
4650,0.14181782517493713,0.3261923723649382,0.19874909438000213,0.14181782517493713,0.22383189961950126
